Node,Node id,Total Places,Distinct Places,PopularSubRegion,Distance
2010_FIFA_World_Cup_squads,3559198,3254,489,50.46060408896099,2.2841491699218697,52.94826210766255,8.95285034179687
2010_FIFA_World_Cup_squads,3559198,2666,474,50.89397819772353,-4.88992309570313,53.35837573999788,1.7787780761718697
2010_FIFA_World_Cup_squads,3559198,2088,457,45.33819417400785,4.15731811523437,48.090506035193776,10.82601928710937

1998_FIFA_World_Cup_squads,1181906,7529,1307,50.26436673989553,-8.206420898437505,55.018217800885026,9.646362304687495
1998_FIFA_World_Cup_squads,1181906,12964,1497,-59.03239691466748,-149.748779296875,46.02323469579611,-20.022216796875004
1998_FIFA_World_Cup_squads,1181906,9979,1507,41.240172939835865,0.9396972656249947,51.96757734604085,17.155517578124993

2002_FIFA_World_Cup_squads,4463783,5821,1029,49.46414875814645,-12.683349609375005,58.62803241799416,3.5324707031249947
2002_FIFA_World_Cup_squads,4463783,8572,1431,44.03582145718013,2.4338378906249947,54.24881560130854,18.649658203124993
2002_FIFA_World_Cup_squads,4463783,6744,1033,36.69875535197208,13.002685546874995,57.63036525468803,41.56713867187499

List_of_Harvard_University_people,5663272,3140,1046,34.8448550925687,-26.372314453125004,70.18302915355561,30.756591796874993
List_of_Harvard_University_people,5663272,19982,1679,37.74850756292033,-77.217041015625,49.09144669821024,-62.934814453125
List_of_Harvard_University_people,5663272,13378,1548,30.02575961669229,-89.082275390625,42.61328997805471,-74.800048828125

2012–13_UMass_Minutemen_basketball_team,2762634,15605,1254,32.33767333449912,-92.224365234375,44.57046001456904,-77.942138671875
2012–13_UMass_Minutemen_basketball_team,2762634,15051,1013,37.52230242028188,-81.325927734375,48.90403883619861,-67.043701171875
2012–13_UMass_Minutemen_basketball_team,2762634,18837,1285,34.06579532777655,-82.446533203125,55.8595495572779,-53.882080078125

1994_FIFA_World_Cup_squads,7518811,4539,1015,49.249472075788304,-9.914794921875005,58.45602880340887,4.367431640624995
1994_FIFA_World_Cup_squads,7518811,5254,1026,39.567107064478535,3.5654296874999947,50.593303302083534,17.847656249999993
1994_FIFA_World_Cup_squads,7518811,5358,1001,46.25161724112585,4.883789062499995,56.044083151449534,19.166015624999993

2013–14_Tulsa_Golden_Hurricane_men's_basketball_team,3365354,9313,1084,32.8929021101609,-82.76513671875,45.03815584620146,-68.48291015625
2013–14_Tulsa_Golden_Hurricane_men's_basketball_team,3365354,13540,1241,29.911550332254475,-98.080078125,42.5161910624278,-83.7978515625
2013–14_Tulsa_Golden_Hurricane_men's_basketball_team,3365354,10136,1258,29.14681914205053,-124.24951171875,52.47905491819806,-95.68505859375

List_of_Phi_Beta_Sigma_chapters,938344,4030,1053,29.319387017946344,-125.96337890625,52.59933242220684,-97.39892578125
List_of_Phi_Beta_Sigma_chapters,938344,11821,1034,38.07787470147303,-77.865234375,43.98841372795095,-70.72412109375
List_of_Phi_Beta_Sigma_chapters,938344,5380,1054,21.81502917615323,-90.93896484375,35.52724826881111,-76.65673828125

2012–13_Dayton_Flyers_men's_basketball_team,2494629,14572,1129,35.36614708915405,-81.71044921875,47.11083698536085,-67.42822265625
2012–13_Dayton_Flyers_men's_basketball_team,2494629,11124,1094,33.44467274090409,-96.34423828125,45.50205988101837,-82.06201171875
2012–13_Dayton_Flyers_men's_basketball_team,2494629,9609,1030,26.406072051791085,-97.70654296875,39.516273665666745,-80.43603515625

2013–14_Oregon_Ducks_men's_basketball_team,6795370,6285,1001,33.70097394474952,-82.63330078125,45.717250918845224,-65.36279296875
2013–14_Oregon_Ducks_men's_basketball_team,6795370,7381,1155,32.20762563260355,-99.6181640625,44.460785414379664,-82.34765625
2013–14_Oregon_Ducks_men's_basketball_team,6795370,14609,1160,29.66364747662956,-139.71826171875,52.83889981047309,-105.17724609375
