dataset,K,k,G,g_param,W,base_iadu_hpfr,base_iadu_time,sampling_hpfr,sampling_diff_pct,biased_sampling_hpfr,biased_sampling_diff_pct,stratified_sampling_hpfr,stratified_sampling_diff_pct
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,1,10.0,700.0640421759401,0.06902384757995605,503.73849360495956,-28.0439,317.0368765770702,-54.7132,545.3117786172752,-22.1054
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.5,5.0,1819.8554050122075,0.06885266304016113,1689.578848425498,-7.1586,1779.3006032733515,-2.2285,1687.1707617448644,-7.2909
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.65,6.5,1390.6007657866846,0.07008886337280273,1335.9438395320822,-3.9305,1235.2916724776894,-11.1685,1362.8185345114082,-1.9979
dbpedia_1994_FIFA_World_Cup_squads,200,20,16,0.75,7.5,1147.1443947344812,0.0693964958190918,1026.0635004428323,-10.555,956.1100613550855,-16.653,1207.6333475005742,5.273
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,1,25.0,1834.482873049483,0.43476343154907227,1374.5716683532942,-25.0703,1255.7905392158264,-31.5453,1529.7844567371526,-16.6095
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.5,12.5,4583.639900592982,0.43523716926574707,4446.551201373177,-2.9908,4522.581886428599,-1.3321,4376.7628870237995,-4.5134
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.65,16.25,3597.6802210958,0.4376969337463379,3609.1386700078415,0.3185,3513.28535919855,-2.3458,3454.58132429111,-3.9775
dbpedia_1994_FIFA_World_Cup_squads,500,20,16,0.75,18.75,2990.4553246653395,0.4369339942932129,2652.344608453691,-11.3063,2902.8634973556973,-2.929,3082.658768992998,3.0833
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,1,33.3333,1439.6556266838443,0.410261869430542,1391.483079438876,-3.3461,774.0852410730143,-46.2312,1191.145105117965,-17.2618
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.5,16.6667,3518.9005702031163,0.4105355739593506,3213.095023693882,-8.6904,3514.399292566502,-0.1279,3428.58076949315,-2.5667
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.65,21.6667,2778.425345244863,0.4112575054168701,2532.7188391571603,-8.8434,2818.5425691453597,1.4439,2886.7931743538657,3.9003
dbpedia_1994_FIFA_World_Cup_squads,500,15,16,0.75,25.0,2342.774697354143,0.41353559494018555,2418.039063846438,3.2126,2392.5627515498986,2.1252,2412.165848134794,2.9619
AVERAGE_TOTAL,,,,,,,,,-8.867,,-13.8088,,-5.0921
